"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.684401403688748E9,"2023-05-18 18:16:43.689 UTC+09:00"
"PAUSE",5.232246279166429E1,1.684401456009342E9,"2023-05-18 18:17:36.009 UTC+09:00"
