"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.685797133243703E9,"2023-06-03 21:58:53.244 UTC+09:00"
"PAUSE",5.224241687500034E1,1.685797185486086E9,"2023-06-03 21:59:45.486 UTC+09:00"
