"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686991645725534E9,"2023-06-17 17:47:25.726 UTC+09:00"
"PAUSE",4.571803504164564E1,1.686991691444184E9,"2023-06-17 17:48:11.444 UTC+09:00"
