"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.683366273580540E9,"2023-05-06 18:44:33.581 UTC+09:00"
"PAUSE",6.092699558333334E1,1.683366334506370E9,"2023-05-06 18:45:34.506 UTC+09:00"
