"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.683131747691561E9,"2023-05-04 01:35:47.692 UTC+09:00"
"PAUSE",5.679698812500283E1,1.683131804488960E9,"2023-05-04 01:36:44.489 UTC+09:00"
