"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.682839010664892E9,"2023-04-30 16:16:50.665 UTC+09:00"
"PAUSE",1.039539487496950E1,1.682839021060349E9,"2023-04-30 16:17:01.060 UTC+09:00"
