"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.682835985484560E9,"2023-04-30 15:26:25.485 UTC+09:00"
"PAUSE",1.070243687508628E1,1.682835996187076E9,"2023-04-30 15:26:36.187 UTC+09:00"
