"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686987868258436E9,"2023-06-17 16:44:28.258 UTC+09:00"
"PAUSE",5.406311458337586E1,1.686987922320920E9,"2023-06-17 16:45:22.321 UTC+09:00"
