state,time
1662,1
1957,0
2000,1
2663,0
3517,1
3810,0
3853,1
4511,0
5622,1
5925,0
5967,1
7108,0
8560,1
8849,0
8893,1
10252,0
11494,1
11894,0
11938,1
12696,0
