"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.674391806931003E9,"2023-01-22 21:50:06.931 UTC+09:00"
"PAUSE",2.592193541582674E0,1.674391809523187E9,"2023-01-22 21:50:09.523 UTC+09:00"
