X,Y,Z,,X,Y,Z
8.110790253,-35.63702774,-0.95652771,,-0.109901428,-2.461418152,2.654632568
8.236598969,-35.65682602,-1.074356079,,0.015907288,-2.481216431,2.536804199
8.333324432,-35.70669937,-0.907913208,,0.112632751,-2.531089783,2.70324707
8.384815216,-35.88921738,-0.770675659,,0.164123535,-2.713607788,2.840484619
8.293704987,-35.83375931,-0.637756348,,0.073013306,-2.658149719,2.973403931
8.091655731,-35.78210831,-0.550247192,,-0.12903595,-2.606498718,3.060913086
8.067455292,-35.89683914,-0.68977356,,-0.153236389,-2.721229553,2.921386719
8.253200531,-35.89547348,-0.791351318,,0.03250885,-2.719863892,2.81980896
8.459358215,-35.97971725,-0.843902588,,0.238666534,-2.804107666,2.76725769
8.475242615,-36.11606216,-0.759353638,,0.254550934,-2.940452576,2.851806641
8.51423645,-36.19735336,-0.811920166,,0.293544769,-3.021743774,2.799240112
8.487075806,-36.13653183,-0.904037476,,0.266384125,-2.960922241,2.707122803
8.619113922,-36.1323204,-0.929763794,,0.398422241,-2.956710815,2.681396484
8.765842438,-36.18255997,-0.808929443,,0.545150757,-3.006950378,2.802230835
8.787166595,-36.16837692,-0.761993408,,0.566474915,-2.992767334,2.84916687
8.669166565,-36.28107071,-0.723464966,,0.448474884,-3.105461121,2.887695313
8.528408051,-36.35252762,-0.784011841,,0.30771637,-3.17691803,2.827148438
8.539802551,-36.46790695,-0.976638794,,0.31911087,-3.292297363,2.634521484
8.552051544,-36.57862473,-1.082427979,,0.331359863,-3.403015137,2.5287323
8.403358459,-36.62060165,-0.992935181,,0.182666779,-3.444992065,2.618225098
8.519104004,-36.72057724,-0.866912842,,0.298412323,-3.544967651,2.744247437
8.57806015,-36.68372726,-0.809906006,,0.357368469,-3.508117676,2.801254272
8.723110199,-36.67251968,-0.666778564,,0.502418518,-3.496910095,2.944381714
8.72228241,-36.7037468,-0.69039917,,0.501590729,-3.528137207,2.920761108
8.511322021,-36.70476913,-0.556365967,,0.290630341,-3.529159546,3.054794312
8.362762451,-36.68186569,-0.419921875,,0.14207077,-3.506256104,3.191238403
8.483882904,-36.67713547,-0.295089722,,0.263191223,-3.501525879,3.316070557
8.578536987,-36.83930588,-0.315750122,,0.357845306,-3.663696289,3.295410156
8.625045776,-36.84258652,-0.218734741,,0.404354095,-3.666976929,3.392425537
8.599117279,-36.88263321,-0.077346802,,0.378425598,-3.707023621,3.533813477
8.669425964,-36.98036575,0.069580078,,0.448734283,-3.804756165,3.680740356
8.55594635,-36.99069595,0.060256958,,0.335254669,-3.815086365,3.671417236
8.539878845,-36.93294144,0.116821289,,0.319187164,-3.757331848,3.727981567
8.633659363,-36.88667679,0.072967529,,0.412967682,-3.7110672,3.684127808
8.624809265,-37.00999832,0.009262085,,0.404117584,-3.834388733,3.620422363
8.716976166,-36.9740715,-0.11177063,,0.496284485,-3.798461914,3.499389648
8.619159698,-36.99268723,-0.136260986,,0.398468018,-3.817077637,3.474899292
8.786026001,-36.96602249,-0.057983398,,0.56533432,-3.790412903,3.55317688
8.734500885,-36.85985184,0.005340576,,0.513809204,-3.684242249,3.616500854
8.794021606,-36.87370682,0.06791687,,0.573329926,-3.698097229,3.679077148
8.781661987,-36.85555649,-0.028457642,,0.560970306,-3.679946899,3.582702637
8.646945953,-36.86983871,-0.155471802,,0.426254272,-3.694229126,3.455688477
8.568466187,-36.84687424,-0.285186768,,0.347774506,-3.671264648,3.325973511
8.601463318,-36.82397842,-0.246307373,,0.380771637,-3.648368835,3.364852905
8.723266602,-36.71202469,-0.37550354,,0.502574921,-3.5364151,3.235656738
8.816837311,-36.64424515,-0.221374512,,0.59614563,-3.468635559,3.389785767
8.841175079,-36.65756607,-0.126281738,,0.620483398,-3.481956482,3.48487854
8.680179596,-36.48662186,-0.067276001,,0.459487915,-3.311012268,3.543884277
8.633342743,-36.41932297,-0.074310303,,0.412651062,-3.243713379,3.536849976
8.670467377,-36.36713791,-0.227706909,,0.449775696,-3.19152832,3.383453369
8.696186066,-36.23979568,-0.27722168,,0.475494385,-3.064186096,3.333938599
8.621437073,-36.08475876,-0.260299683,,0.400745392,-2.90914917,3.350860596
8.734672546,-36.12047195,-0.191543579,,0.513980865,-2.944862366,3.419616699
8.924713135,-36.12085342,-0.272338867,,0.704021454,-2.945243835,3.338821411
8.946552277,-36.02897263,-0.346435547,,0.725860596,-2.853363037,3.264724731
8.916473389,-36.08493423,-0.459671021,,0.695781708,-2.909324646,3.151489258
8.903697968,-36.0475502,-0.628417969,,0.683006287,-2.871940613,2.98274231
9.076816559,-36.14791489,-0.635803223,,0.856124878,-2.972305298,2.975357056
8.96736908,-36.08103561,-0.789505005,,0.746677399,-2.905426025,2.821655273
8.963813782,-36.09350967,-0.821273804,,0.743122101,-2.917900085,2.789886475
9.029388428,-36.08465958,-0.771530151,,0.808696747,-2.909049988,2.839630127
9.213405609,-36.07044601,-0.741592407,,0.992713928,-2.894836426,2.869567871
9.168399811,-36.07423019,-0.697860718,,0.94770813,-2.898620605,2.913299561
9.140296936,-36.08269882,-0.650344849,,0.919605255,-2.907089233,2.96081543
9.061771393,-36.19840622,-0.589401245,,0.841079712,-3.022796631,3.021759033
9.026115417,-36.15624619,-0.598739624,,0.805423737,-2.980636597,3.012420654
8.947795868,-36.21048355,-0.571380615,,0.727104187,-3.034873962,3.039779663
8.993106842,-36.32336807,-0.532897949,,0.772415161,-3.147758484,3.078262329
8.950332642,-36.47838974,-0.398788452,,0.729640961,-3.302780151,3.212371826
8.795684814,-36.45042801,-0.2865448,,0.574993134,-3.27481842,3.324615479
8.939979553,-36.46927261,-0.108261108,,0.719287872,-3.293663025,3.50289917
8.878307343,-36.61176682,-0.099227905,,0.657615662,-3.436157227,3.511932373
8.792518616,-36.75928116,0.012176514,,0.571826935,-3.58367157,3.623336792
8.624534607,-36.89628983,0.088043213,,0.403842926,-3.720680237,3.699203491
8.705753326,-37.02151871,0.169769287,,0.485061646,-3.845909119,3.780929565
8.632698059,-37.18201828,0.144927979,,0.412006378,-4.006408691,3.756088257
8.516433716,-37.44701004,0.21282959,,0.295742035,-4.271400452,3.823989868
8.480506897,-37.70460892,0.53453064,,0.259815216,-4.528999329,4.145690918
8.485530853,-37.88380814,0.688720703,,0.264839172,-4.708198547,4.299880981
8.438503265,-38.03425217,0.820678711,,0.217811584,-4.858642578,4.431838989
8.424377441,-38.16849136,1.00769043,,0.20368576,-4.992881775,4.618850708
8.428882599,-38.3940239,1.213134766,,0.208190918,-5.218414307,4.824295044
8.434684753,-38.53001785,1.425231934,,0.213993073,-5.354408264,5.036392212
8.550617218,-38.79555893,1.633087158,,0.329925537,-5.619949341,5.244247437
8.519359589,-38.93870926,1.70993042,,0.298667908,-5.76309967,5.321090698
8.528518677,-39.18476486,2.058547974,,0.307826996,-6.009155273,5.669708252
8.504917145,-39.4532814,2.251373291,,0.284225464,-6.277671814,5.862533569
8.40354538,-39.55350113,2.64050293,,0.182853699,-6.377891541,6.251663208
8.468223572,-39.71223831,2.860061646,,0.247531891,-6.536628723,6.471221924
8.459186554,-40.02085495,3.16947937,,0.238494873,-6.845245361,6.780639648
8.45608139,-40.19690323,3.216262817,,0.235389709,-7.02129364,6.827423096
8.428256989,-40.44092178,3.579574585,,0.207565308,-7.265312195,7.190734863
8.40322113,-40.53843307,3.973144531,,0.182529449,-7.362823486,7.58430481
8.421375275,-40.89188004,4.326629639,,0.200683594,-7.716270447,7.937789917
8.276504517,-41.21230698,4.636123657,,0.055812836,-8.036697388,8.247283936
8.22133255,-41.46402359,4.946243286,,0.000640869,-8.288414001,8.557403564
8.132087708,-41.73521042,5.216827393,,-0.088603973,-8.55960083,8.827987671
7.904567719,-42.03841782,5.393539429,,-0.316123962,-8.862808228,9.004699707
7.931037903,-42.20632553,5.489990234,,-0.289653778,-9.030715942,9.101150513
7.802459717,-42.5235939,5.797454834,,-0.418231964,-9.347984314,9.408615112
7.567630768,-42.74835587,5.984725952,,-0.653060913,-9.572746277,9.59588623
7.443454742,-42.92538071,6.355407715,,-0.777236938,-9.749771118,9.966567993
7.332935333,-43.14502335,6.775772095,,-0.887756348,-9.969413757,10.38693237
7.264148712,-43.44120407,7.152450562,,-0.956542969,-10.26559448,10.76361084
7.220939636,-43.64801407,7.400283813,,-0.999752045,-10.47240448,11.01144409
7.230121613,-43.94991684,7.70274353,,-0.990570068,-10.77430725,11.31390381
7.100761414,-44.16526413,8.164199829,,-1.119930267,-10.98965454,11.77536011
6.914897919,-44.37654495,8.508255005,,-1.305793762,-11.20093536,12.11941528
6.782672882,-44.60464859,9.142883301,,-1.438018799,-11.429039,12.75404358
6.6978302,-44.81783676,9.485168457,,-1.522861481,-11.64222717,13.09632874
6.632507324,-45.08523178,9.979736328,,-1.588184357,-11.90962219,13.59089661
6.621608734,-45.350811,10.2926178,,-1.599082947,-12.17520142,13.90377808
6.509197235,-45.53553391,10.6214447,,-1.711494446,-12.35992432,14.23260498
6.348449707,-45.75673294,11.23371887,,-1.872241974,-12.58112335,14.84487915
6.11774826,-46.02787399,11.57846069,,-2.10294342,-12.8522644,15.18962097
5.948246002,-46.13605881,11.91357422,,-2.272445679,-12.96044922,15.5247345
5.910949707,-46.3717308,12.22926331,,-2.309741974,-13.19612122,15.84042358
5.779125214,-46.58870316,12.56204224,,-2.441566467,-13.41309357,16.17320251
5.767269135,-46.84938431,13.08100891,,-2.453422546,-13.67377472,16.69216919
5.607578278,-47.19776535,13.37983704,,-2.613113403,-14.02215576,16.99099731
5.510276794,-47.46595383,13.83659363,,-2.710414886,-14.29034424,17.44775391
5.190002441,-47.76366043,14.10328674,,-3.03068924,-14.58805084,17.71444702
4.987266541,-48.19462204,14.54537964,,-3.23342514,-15.01901245,18.15653992
5.022003174,-48.4991188,14.79803467,,-3.198688507,-15.32350922,18.40919495
5.004634857,-48.77666092,15.09101868,,-3.216056824,-15.60105133,18.70217896
5.003913879,-49.07226944,15.36010742,,-3.216777802,-15.89665985,18.9712677
4.718265533,-49.34649277,15.58964539,,-3.502426147,-16.17088318,19.20080566
4.587398529,-49.61143875,16.03338623,,-3.633293152,-16.43582916,19.64454651
4.500606537,-49.79518509,16.37626648,,-3.720085144,-16.6195755,19.98742676
4.475814819,-50.12031937,16.53250122,,-3.744876862,-16.94470978,20.1436615
4.583881378,-50.42303085,16.88314819,,-3.636810303,-17.24742126,20.49430847
4.539207458,-50.73474503,17.35527039,,-3.681484222,-17.55913544,20.96643066
4.339862823,-51.03889847,17.64808655,,-3.880828857,-17.86328888,21.25924683
4.298049927,-51.25335312,18.11080933,,-3.922641754,-18.07774353,21.7219696
4.032787323,-51.46233749,18.6385498,,-4.187904358,-18.28672791,22.24971008
3.735916138,-51.55877304,19.0980072,,-4.484775543,-18.38316345,22.70916748
3.50711441,-51.73774338,19.57479858,,-4.713577271,-18.56213379,23.18595886
3.320270538,-51.81177139,20.19529724,,-4.900421143,-18.6361618,23.80645752
3.090080261,-51.8692131,20.63980103,,-5.13061142,-18.69360352,24.2509613
2.87701416,-51.88560104,21.39230347,,-5.343677521,-18.70999146,25.00346375
2.86566925,-51.9873848,22.09187317,,-5.35502243,-18.81177521,25.70303345
2.639854431,-52.12514114,22.81190491,,-5.58083725,-18.94953156,26.42306519
2.437976837,-52.24401474,23.07351685,,-5.782714844,-19.06840515,26.68467712
2.340820313,-52.34155655,23.48701477,,-5.879871368,-19.16594696,27.09817505
2.354450226,-52.50085068,23.87078857,,-5.866241455,-19.32524109,27.48194885
2.362140656,-52.69648361,24.08085632,,-5.858551025,-19.52087402,27.6920166
2.360630035,-52.89702988,24.36135864,,-5.860061646,-19.72142029,27.97251892
2.291908264,-53.06947708,24.82868958,,-5.928783417,-19.89386749,28.43984985
2.321308136,-53.09625626,25.32295227,,-5.899383545,-19.92064667,28.93411255
2.3188591,-53.17055893,25.70809937,,-5.901832581,-19.99494934,29.31925964
2.124107361,-53.39831924,26.11553955,,-6.09658432,-20.22270966,29.72669983
2.015079498,-53.58028793,26.48495483,,-6.205612183,-20.40467834,30.09611511
1.85194397,-53.85606766,26.73034668,,-6.368747711,-20.68045807,30.34150696
1.853282928,-54.05389023,26.92478943,,-6.367408752,-20.87828064,30.53594971
1.735912323,-54.32187271,26.90701294,,-6.484779358,-21.14626312,30.51817322
1.644119263,-54.65010452,26.91075134,,-6.576572418,-21.47449493,30.52191162
1.890239716,-54.91786575,27.04328918,,-6.330451965,-21.74225616,30.65444946
1.969337463,-55.21632767,27.28063965,,-6.251354218,-22.04071808,30.89179993
1.922618866,-55.56764603,27.28453064,,-6.298072815,-22.39203644,30.89569092
2.174865723,-55.77206039,27.11410522,,-6.045825958,-22.59645081,30.7252655
2.306072235,-56.19165421,27.01286316,,-5.914619446,-23.01604462,30.62402344
2.643955231,-56.62417984,26.80941772,,-5.57673645,-23.44857025,30.420578
2.808998108,-57.00754929,26.78956604,,-5.411693573,-23.8319397,30.40072632
2.913021088,-57.20546341,26.91763306,,-5.307670593,-24.02985382,30.52879333
3.123077393,-57.42067337,26.99105835,,-5.097614288,-24.24506378,30.60221863
3.175308228,-57.71707535,26.89768982,,-5.045383453,-24.54146576,30.5088501
3.139816284,-58.0439415,26.78752136,,-5.080875397,-24.86833191,30.39868164
3.154724121,-58.40043259,26.69203186,,-5.06596756,-25.224823,30.30319214
3.157592773,-58.61796188,26.61630249,,-5.063098907,-25.44235229,30.22746277
3.380058289,-59.01099014,26.501297,,-4.840633392,-25.83538055,30.11245728
3.57220459,-59.29410934,26.47344971,,-4.648487091,-26.11849976,30.08460999
3.819961548,-59.52869034,26.34301758,,-4.400730133,-26.35308075,29.95417786
4.037853241,-59.71718979,26.21424866,,-4.18283844,-26.5415802,29.82540894
4.397216797,-59.98745346,26.24607849,,-3.823474884,-26.81184387,29.85723877
4.611930847,-60.21986008,26.11683655,,-3.608760834,-27.04425049,29.72799683
4.88702774,-60.6182518,25.96832275,,-3.33366394,-27.44264221,29.57948303
5.030490875,-60.91031265,25.95172119,,-3.190200806,-27.73470306,29.56288147
5.119190216,-61.3672905,26.01156616,,-3.101501465,-28.19168091,29.62272644
5.342067719,-61.74603653,25.88279724,,-2.878623962,-28.57042694,29.49395752
5.437843323,-62.04669571,25.69775391,,-2.782848358,-28.87108612,29.30891418
5.509216309,-62.38975143,25.74195862,,-2.711475372,-29.21414185,29.3531189
5.390239716,-62.8910408,25.57313538,,-2.830451965,-29.71543121,29.18429565
5.343780518,-63.15924454,25.62532043,,-2.876911163,-29.98363495,29.23648071
5.485664368,-63.47140884,25.36491394,,-2.735027313,-30.29579926,28.97607422
5.521121979,-63.76973343,25.33056641,,-2.699569702,-30.59412384,28.94172668
5.488750458,-63.93110275,25.20732117,,-2.731941223,-30.75549316,28.81848145
5.445796967,-64.18930054,25.21621704,,-2.774894714,-31.01369095,28.82737732
5.314815521,-64.49559021,25.14024353,,-2.90587616,-31.31998062,28.75140381
5.161468506,-64.89485168,25.18173218,,-3.059223175,-31.7192421,28.79289246
5.002975464,-65.02954102,25.24249268,,-3.217716217,-31.85393143,28.85365295
4.90895462,-65.2653656,25.262146,,-3.311737061,-32.08975601,28.87330627
4.795345306,-65.5921936,25.26914978,,-3.425346375,-32.41658401,28.88031006
4.682506561,-65.84436035,25.27571106,,-3.53818512,-32.66875076,28.88687134
4.581478119,-66.13909912,25.3474884,,-3.639213562,-32.96348953,28.95864868
4.559318542,-66.32788086,25.3629303,,-3.661373138,-33.15227127,28.97409058
4.645763397,-66.48005676,25.39399719,,-3.574928284,-33.30444717,29.00515747
4.624847412,-66.61489868,25.66023254,,-3.595844269,-33.43928909,29.27139282
4.859199524,-66.88414001,25.77346802,,-3.361492157,-33.70853043,29.3846283
4.96213913,-67.03811646,25.75254822,,-3.258552551,-33.86250687,29.3637085
4.929576874,-67.27322388,25.93457031,,-3.291114807,-34.09761429,29.54573059
4.98532486,-67.42871094,26.01225281,,-3.235366821,-34.25310135,29.62341309
5.15303421,-67.37960815,26.06802368,,-3.067657471,-34.20399857,29.67918396
5.077064514,-67.54402161,26.19177246,,-3.143627167,-34.36841202,29.80293274
5.034626007,-67.76107788,26.40472412,,-3.186065674,-34.58546829,30.0158844
5.014972687,-67.88395691,26.67541504,,-3.205718994,-34.70834732,30.28657532
5.040771484,-68.07775879,26.87011719,,-3.179920197,-34.9021492,30.48127747
5.009952545,-68.3943634,26.9418335,,-3.210739136,-35.21875381,30.55299377
5.014846802,-68.67375183,26.85668945,,-3.205844879,-35.49814224,30.46784973
5.066574097,-68.87547302,26.69174194,,-3.154117584,-35.69986343,30.30290222
5.041496277,-69.07234192,26.56207275,,-3.179195404,-35.89673233,30.17323303
5.175243378,-69.34577942,26.61161804,,-3.045448303,-36.17016983,30.22277832
5.225521088,-69.60169983,26.77163696,,-2.995170593,-36.42609024,30.38279724
5.251075745,-69.77842712,26.63856506,,-2.969615936,-36.60281754,30.24972534
5.192710876,-69.90452576,26.57978821,,-3.027980804,-36.72891617,30.19094849
5.26776123,-70.08059692,26.57865906,,-2.95293045,-36.90498734,30.18981934
5.205219269,-70.22473145,26.50926208,,-3.015472412,-37.04912186,30.12042236
5.224121094,-70.58886719,26.31570435,,-2.996570587,-37.4132576,29.92686462
5.253734589,-70.81628418,26.24537659,,-2.966957092,-37.64067459,29.85653687
5.347286224,-70.92987061,26.39448547,,-2.873405457,-37.75426102,30.00564575
5.362316132,-71.12994385,26.43782043,,-2.858375549,-37.95433426,30.04898071
5.362316132,-71.12994385,26.43782043,,-2.858375549,-37.95433426,30.04898071
5.486911774,-71.20007324,26.48858643,,-2.733779907,-38.02446365,30.0997467
5.526988983,-71.31512451,26.6438446,,-2.693702698,-38.13951492,30.25500488
5.584396362,-71.52609253,26.68551636,,-2.636295319,-38.35048294,30.29667664
5.625175476,-71.50027466,26.80905151,,-2.595516205,-38.32466507,30.42021179
5.593162537,-71.51599121,26.84690857,,-2.627529144,-38.34038162,30.45806885
5.678516388,-71.74572754,26.75811768,,-2.542175293,-38.57011795,30.36927795
5.513614655,-71.8915863,26.6418457,,-2.707077026,-38.71597672,30.25300598
5.610664368,-72.00263977,26.63813782,,-2.610027313,-38.82703018,30.2492981
5.670269012,-72.19471741,26.71537781,,-2.550422668,-39.01910782,30.32653809
5.620231628,-72.30249023,26.67730713,,-2.600460052,-39.12688065,30.28846741
5.7747612,-72.3112793,26.88700867,,-2.445930481,-39.13566971,30.49816895
5.815567017,-72.29631042,27.11274719,,-2.405124664,-39.12070084,30.72390747
5.83480835,-72.44451904,27.17469788,,-2.385883331,-39.26890945,30.78585815
5.81445694,-72.55532837,27.31454468,,-2.406234741,-39.37971878,30.92570496
5.440391541,-72.74295044,27.48171997,,-2.78030014,-39.56734085,31.09288025
5.417228699,-72.89620972,27.43835449,,-2.803462982,-39.72060013,31.04951477
5.303562164,-73.04873657,27.46028137,,-2.917129517,-39.87312698,31.07144165
5.361618042,-73.17630005,27.64216614,,-2.859073639,-40.00069046,31.25332642
5.32818985,-73.11419678,27.76231384,,-2.892501831,-39.93858719,31.37347412
5.368618011,-73.12228394,27.80847168,,-2.852073669,-39.94667435,31.41963196
5.30330658,-73.20848083,27.66297913,,-2.917385101,-40.03287125,31.2741394
5.372680664,-73.14823914,27.42573547,,-2.848011017,-39.97262955,31.03689575
5.378669739,-73.26899719,27.30688477,,-2.842021942,-40.0933876,30.91804504
5.505439758,-73.33944702,27.28489685,,-2.715251923,-40.16383743,30.89605713
5.509078979,-73.37840271,27.28320313,,-2.711612701,-40.20279312,30.8943634
5.477737427,-73.4503479,27.32591248,,-2.742954254,-40.27473831,30.93707275
5.518135071,-73.48554993,27.41233826,,-2.70255661,-40.30994034,31.02349854
5.409404755,-73.48309326,27.29377747,,-2.811286926,-40.30748367,30.90493774
5.361103058,-73.40309143,27.18991089,,-2.859588623,-40.22748184,30.80107117
5.330806732,-73.52488708,27.25656128,,-2.889884949,-40.3492775,30.86772156
5.427249908,-73.57423401,27.26177979,,-2.793441772,-40.39862442,30.87294006
5.484924316,-73.5435791,27.16172791,,-2.735767365,-40.36796951,30.77288818
5.568832397,-73.66156006,27.01329041,,-2.651859283,-40.48595047,30.62445068
5.592517853,-73.68675232,26.93515015,,-2.628173828,-40.51114273,30.54631042
5.71289444,-73.66064453,26.87895203,,-2.507797241,-40.48503494,30.4901123
5.82529068,-73.67996216,27.032547,,-2.395401001,-40.50435257,30.64370728
5.824268341,-73.69090271,27.09458923,,-2.39642334,-40.51529312,30.70574951
5.92980957,-73.56861877,27.01425171,,-2.290882111,-40.39300919,30.62541199
5.970676422,-73.60862732,26.81509399,,-2.250015259,-40.43301773,30.42625427
5.802772522,-73.61450195,26.70358276,,-2.417919159,-40.43889236,30.31474304
5.924369812,-73.69415283,26.54194641,,-2.296321869,-40.51854324,30.15310669
6.045921326,-73.73300171,26.52952576,,-2.174770355,-40.55739212,30.14068604
6.032772064,-73.69844055,26.37712097,,-2.187919617,-40.52283096,29.98828125
5.996761322,-73.77946472,26.22058105,,-2.223930359,-40.60385513,29.83174133
5.813098907,-73.7199707,26.14672852,,-2.407592773,-40.54436111,29.75788879
5.962741852,-73.69584656,25.89448547,,-2.257949829,-40.52023697,29.50564575
5.920589447,-73.73188782,25.85916138,,-2.300102234,-40.55627823,29.47032166
6.112754822,-73.73800659,25.87716675,,-2.107936859,-40.562397,29.48832703
6.259773254,-73.83795166,25.78147888,,-1.960918427,-40.66234207,29.39263916
6.411651611,-73.70561218,25.72019958,,-1.80904007,-40.53000259,29.33135986
6.367797852,-73.68385315,25.65420532,,-1.852893829,-40.50824356,29.2653656
6.447502136,-73.66937256,25.39268494,,-1.773189545,-40.49376297,29.00384521
6.27721405,-73.64720154,25.39373779,,-1.943477631,-40.47159195,29.00489807
6.393920898,-73.82049561,25.24671936,,-1.826770782,-40.64488602,28.85787964
6.392795563,-73.92086792,25.14755249,,-1.827896118,-40.74525833,28.75871277
6.502975464,-73.95173645,25.04402161,,-1.717716217,-40.77612686,28.65518188
6.544967651,-73.80851746,24.96000671,,-1.67572403,-40.63290787,28.57116699
6.664768219,-73.92947388,24.96455383,,-1.555923462,-40.75386429,28.57571411
6.878311157,-73.91137695,24.85606384,,-1.342380524,-40.73576736,28.46722412
7.070941925,-73.96476746,24.6696167,,-1.149749756,-40.78915787,28.28077698
7.098434448,-74.11325073,24.52973938,,-1.122257233,-40.93764114,28.14089966
7.244739532,-73.97181702,24.5843811,,-0.975952148,-40.79620743,28.19554138
7.267177582,-73.97558594,24.60920715,,-0.953514099,-40.79997635,28.22036743
7.324901581,-73.93397522,24.7474823,,-0.8957901,-40.75836563,28.35864258
7.323188782,-73.94841003,24.80062866,,-0.897502899,-40.77280045,28.41178894
7.31539917,-73.95800781,24.88787842,,-0.905292511,-40.78239822,28.4990387
7.424751282,-74.0128479,24.90254211,,-0.795940399,-40.83723831,28.51370239
7.417156219,-73.86534119,24.80955505,,-0.803535461,-40.6897316,28.42071533
7.587837219,-73.80415344,24.76309204,,-0.632854462,-40.62854385,28.37425232
7.609596252,-73.82324219,24.7776947,,-0.611095428,-40.6476326,28.38885498
7.579166412,-73.7192688,24.80030823,,-0.641525269,-40.54365921,28.41146851
7.561290741,-73.72706604,24.82345581,,-0.65940094,-40.55145645,28.43461609
7.440998077,-73.68624878,24.94226074,,-0.779693604,-40.51063919,28.55342102
7.452934265,-73.71809387,25.14282227,,-0.767757416,-40.54248428,28.75398254
7.460830688,-73.59431458,25.16964722,,-0.759860992,-40.41870499,28.7808075
7.414981842,-73.45561218,25.29086304,,-0.805709839,-40.28000259,28.90202332
7.542201996,-73.4546814,25.23036194,,-0.678489685,-40.27907181,28.84152222
7.585166931,-73.46942139,25.09072876,,-0.63552475,-40.2938118,28.70188904
7.570804596,-73.34248352,24.94044495,,-0.649887085,-40.16687393,28.55160522
7.557044983,-73.20436096,24.8127594,,-0.663646698,-40.02875137,28.42391968
7.651287079,-73.06646729,24.59503174,,-0.569404602,-39.8908577,28.20619202
7.672080994,-73.01502991,24.29524231,,-0.548610687,-39.83942032,27.90640259
7.605213165,-73.01448059,23.92655945,,-0.615478516,-39.838871,27.53771973
7.796302795,-73.03019714,23.44084167,,-0.424388885,-39.85458755,27.05200195
7.640609741,-72.92303467,23.22845459,,-0.58008194,-39.74742508,26.83961487
7.50976944,-72.93630981,23.07214355,,-0.710922241,-39.76070023,26.68330383
7.44216156,-73.05387878,23.04602051,,-0.778530121,-39.8782692,26.65718079
7.424381256,-72.91184998,22.87426758,,-0.796310425,-39.73624039,26.48542786
7.421253204,-72.82618713,22.6519928,,-0.799438477,-39.65057755,26.26315308
7.377170563,-72.77137756,22.58201599,,-0.843521118,-39.59576797,26.19317627
7.254642487,-72.65512085,22.25222778,,-0.966049194,-39.47951126,25.86338806
7.26865387,-72.46829224,22.1907196,,-0.952037811,-39.29268265,25.80187988
7.230735779,-72.37202454,22.29797363,,-0.989955902,-39.19641495,25.90913391
7.209789276,-72.31959534,22.35945129,,-1.010902405,-39.14398575,25.97061157
7.240516663,-72.19044495,22.19717407,,-0.980175018,-39.01483536,25.80833435
7.216308594,-71.97622681,21.89888,,-1.004383087,-38.80061722,25.51004028
7.225463867,-71.79579163,21.79374695,,-0.995227814,-38.62018204,25.40490723
7.118595123,-71.67242432,21.55474854,,-1.102096558,-38.49681473,25.16590881
7.197052002,-71.53857422,21.50160217,,-1.023639679,-38.36296463,25.11276245
