X,Y,Z,,X,Y,Z
8.220691681,-33.17560959,-3.611160278,,0,0,0
8.22562027,-33.19865799,-3.417449951,,0.004928589,-0.023048401,0.193710327
8.31483078,-33.30590439,-3.27532959,,0.094139099,-0.1302948,0.335830688
8.426403046,-33.46972275,-3.263397217,,0.205711365,-0.294113159,0.347763062
8.39648056,-33.6012001,-3.162704468,,0.175788879,-0.425590515,0.448455811
8.387126923,-33.76665115,-3.101135254,,0.166435242,-0.591041565,0.510025024
8.385742188,-33.86552811,-2.963272095,,0.165050507,-0.689918518,0.647888184
8.37909317,-33.85522079,-2.814743042,,0.158401489,-0.679611206,0.796417236
8.427490234,-33.94116592,-2.910507202,,0.206798553,-0.765556335,0.700653076
8.451141357,-34.15946579,-2.898132324,,0.230449677,-0.983856201,0.713027954
8.417125702,-34.30766678,-2.856613159,,0.196434021,-1.13205719,0.754547119
8.42105484,-34.49330521,-2.765884399,,0.200363159,-1.317695618,0.845275879
8.32629776,-34.53197098,-2.605163574,,0.105606079,-1.356361389,1.005996704
8.206542969,-34.61427689,-2.416900635,,-0.014148712,-1.438667297,1.194259644
8.114105225,-34.67339706,-2.208084106,,-0.106586456,-1.497787476,1.403076172
8.056968689,-34.87068558,-2.024459839,,-0.163722992,-1.695075989,1.586700439
8.223724365,-35.07617569,-1.989654541,,0.003032684,-1.900566101,1.621505737
8.269187927,-35.12459946,-1.941345215,,0.048496246,-1.948989868,1.669815063
8.3098526,-35.23577499,-1.856750488,,0.089160919,-2.060165405,1.75440979
8.346073151,-35.32368851,-1.698898315,,0.12538147,-2.148078918,1.912261963
8.231876373,-35.29278183,-1.691604614,,0.011184692,-2.117172241,1.919555664
8.194046021,-35.30189896,-1.820831299,,-0.02664566,-2.126289368,1.790328979
8.161304474,-35.34495926,-1.870437622,,-0.059387207,-2.16934967,1.740722656
7.992397308,-35.40641403,-1.701873779,,-0.228294373,-2.230804443,1.909286499
7.970653534,-35.38908768,-1.747192383,,-0.250038147,-2.213478088,1.863967896
7.838382721,-35.42144394,-1.540634155,,-0.38230896,-2.245834351,2.070526123
7.815193176,-35.4810524,-1.481887817,,-0.405498505,-2.30544281,2.129272461
7.891773224,-35.50825882,-1.437057495,,-0.328918457,-2.332649231,2.174102783
7.931053162,-35.6075325,-1.255081177,,-0.289638519,-2.431922913,2.356079102
8.081565857,-35.69234085,-1.132476807,,-0.139125824,-2.516731262,2.478683472
