"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.684936972846699E9,"2023-05-24 23:02:52.847 UTC+09:00"
"PAUSE",5.526743441665894E1,1.684937028114148E9,"2023-05-24 23:03:48.114 UTC+09:00"
