"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686989153569886E9,"2023-06-17 17:05:53.570 UTC+09:00"
"PAUSE",5.427521129167872E1,1.686989207844091E9,"2023-06-17 17:06:47.844 UTC+09:00"
