"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.676708449770390E9,"2023-02-18 17:20:49.770 UTC+09:00"
"PAUSE",2.642165041674161E0,1.676708452412512E9,"2023-02-18 17:20:52.413 UTC+09:00"
