"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.681895097724833E9,"2023-04-19 18:04:57.725 UTC+09:00"
"PAUSE",4.996538875013357E0,1.681895102721311E9,"2023-04-19 18:05:02.721 UTC+09:00"
