Var1,Var2,Var3
-57.6952854594266,111.957052107794,-109.20286504456
-54.8865774700245,110.875738178451,-107.068897447794
-58.6651757251389,108.702300954757,-109.906434898859
-57.4203542183649,109.772103117739,-110.250392414181
-57.9200411600675,109.875642698166,-110.816891702449
-55.4845328725036,111.715386386616,-108.239255125462
-57.1308090587802,111.769272402407,-110.415949251377
-57.8581409136356,111.304703920066,-109.245227628834
-57.1515407234834,109.737084575655,-110.134390728119
-56.1791648033899,109.998811099892,-109.970332826789
-58.6249214890461,109.092695696614,-117.886720982268
-57.3935749838539,108.579896674534,-118.668892615553
-57.9001489009911,106.332517627047,-120.060696058157
-57.6884618041018,112.143940462399,-111.901847280179
-57.1059327716924,109.442783071754,-120.19319140685
-58.1117429775176,113.672454814802,-113.501032060516
-60.28141604983,110.725504475634,-115.216464660448
-59.433457023971,112.930236500638,-115.882628837531
-59.3789773106793,112.100465519715,-116.431496763012
-59.250165806829,115.018969293091,-116.784595552538
-56.6415997667906,108.742975805416,-110.211252232684
-56.0112951658039,109.471795706892,-111.128405388827
-54.6993469138811,109.070925923893,-110.861002545153
-57.0551325753524,110.604029767412,-110.188766307351
-55.8324178522376,108.10549946509,-111.014498928143
-56.8502217210574,109.699917893506,-110.808513324935
-55.7379087012719,107.940341815451,-110.306351116627
-55.1219225322999,108.997829328815,-110.391844293716
-55.3930708438766,110.307590519092,-109.889833723814
-55.0059880212357,112.103418728378,-109.623317435947
-55.7992223043622,108.943740174917,-110.84476519301
-56.7293341444219,111.940819948447,-109.318395692321
-54.1809101372143,111.779569039746,-109.64065407123
-54.8440118761455,114.840154694385,-104.966316211672
-54.632027368145,110.552329617002,-110.697806616328
-54.6522163542495,111.326367973721,-110.958994590811
-53.8617070566064,109.913697038533,-112.743115704242
-56.3754614387416,111.004704928267,-110.121220914047
-55.578698330678,109.803060498394,-110.285825791608
-56.3033049250449,111.929501189289,-110.447813038511
-57.8775130536338,108.055170679163,-110.97269226034
-57.8404470414829,108.554811487833,-111.673374969582
-57.5528743704192,108.883186250497,-109.840255498748
-55.5426567315889,106.80439745684,-105.467033167835
-56.6727527111949,108.385926047632,-110.733150846397
-56.0094973676997,108.795632270964,-110.901041115177
-56.0088797849201,109.542882025572,-111.205413050998
-55.8018844752278,111.085220963098,-109.681090873153
-55.0510360616711,110.181477288361,-110.315360104646
-54.4507075824298,110.998255870339,-111.417558968987
-59.7098038803739,113.806295418137,-111.50469021897
-58.2560753820599,114.358109049642,-111.135536334968
-58.4381060311499,109.684588775489,-112.844552761824
-58.479324876454,111.639896340422,-111.756360176783
-58.8125081945936,111.55683481852,-111.024986712864
-58.866212211519,112.682800044434,-111.388947538187
-60.28080705458,111.161605107283,-112.623636401531
-58.4825547245578,111.878499771333,-112.318366895158
-58.0255282288413,111.479654662937,-115.484621547891
-57.139513455747,112.044835087872,-110.628108720425
-56.0981331115507,110.653512438639,-109.892055385094
-56.4959288222107,110.96474127237,-110.713437423561
-57.1028949656897,108.073472401865,-110.900814609771
-56.6117406626796,110.479501388577,-111.33952463942
-53.8150063827655,108.164910919826,-110.149011441508
-53.7030155209131,109.566212091589,-111.813735532639
-56.0175751668078,109.537913557018,-110.849291709263
-54.1239273232043,109.834010888481,-106.095903823302
-55.9883709140154,107.997724472661,-110.45343764715
-56.5489578950105,109.399497742374,-110.93718849674
-57.4269197738379,108.373284374194,-117.221231240031
-62.2384310795985,111.69214413861,-113.633535257226
-57.8629221314822,108.161953387064,-118.36637047743
-60.2127145993995,109.139880571966,-117.911780408053
-59.5214159680745,108.884529093388,-116.013647691498
-58.89278909836,110.100152062919,-112.099064584154
-59.2541226596062,107.918038240793,-116.885321017292
-61.0884515186249,110.449234077226,-116.487827761196
-60.2022550627421,109.875675518786,-115.889262999242
-59.3642291752405,111.60004795092,-110.924909370683
-56.3220885367689,107.399861242482,-108.755164081101
-56.061476362711,108.229814339879,-109.796485468206
-58.7789272881013,110.06532637847,-108.535567326481
-55.3103187775299,107.979505320494,-104.562214384811
-58.2576569995185,111.827041487706,-107.28099336803
-55.7303663615909,111.818538641676,-108.237568505511
-56.9547265123276,108.717891636176,-107.700973845336
-56.7464061815203,110.509898223069,-108.42880028683
-54.6898634257633,108.939697817985,-109.67912812504
-55.2785771676187,110.906935871654,-109.380396895439
-55.5558370202853,107.635559437138,-112.229593250835
-53.8264206494158,107.695647562029,-113.156121690339
-54.8532321512381,108.073246228487,-111.924115621486
-55.7028885210723,110.170837063042,-108.280434398394
-55.9391166188736,110.018627214563,-110.515308114346
-54.850104634347,109.166929685926,-111.771567666131
-56.1183704814206,108.262812123437,-111.171071722036
-55.4071685999302,109.303474100259,-111.956400753477
-55.7393121320178,108.414829603823,-111.594069890932
-55.3939896222491,109.62241480041,-111.49934039847
-63.3082641319367,105.962214829317,-120.449582156361
-61.1149217190034,106.612785667068,-120.11834694907
-60.9331583839545,107.078380976859,-119.217932439966
-61.7140659781112,108.468123381233,-118.989185774932
-59.6382546117717,107.756723750412,-119.777896646097
-62.3010383583134,112.010339679648,-114.348532210946
-60.978373605292,107.487009652746,-119.662161288575
-60.4811049397414,107.934108094921,-120.631123749583
-61.3499696195865,108.921055760571,-118.475938761554
-60.7606870474432,110.589279784455,-118.451113631025
-58.6419617535516,111.803959002096,-116.894994185259
-57.0292627776367,112.563083353435,-112.669297504778
-59.0668520349746,113.0514248368,-116.152998919958
-57.8661859220918,113.072207051184,-116.734493042197
-59.786544048944,113.32685642346,-115.255409281387
-59.2443998533007,114.099511194179,-116.383877880435
-55.8755328361405,115.734952835802,-116.339338899108
-59.2249085562179,115.26041953026,-112.568526436812
-60.1326823191037,112.907787931972,-115.353625168475
-56.6099122577683,113.409211841085,-115.843509519048
