"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675229053297795E9,"2023-02-01 14:24:13.298 UTC+09:00"
"PAUSE",4.231403041689191E0,1.675229057529134E9,"2023-02-01 14:24:17.529 UTC+09:00"
