"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.682686527238055E9,"2023-04-28 21:55:27.238 UTC+09:00"
"PAUSE",1.349312350000400E1,1.682686540730875E9,"2023-04-28 21:55:40.731 UTC+09:00"
