"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.682680986111384E9,"2023-04-28 20:23:06.111 UTC+09:00"
"PAUSE",9.649150958335667E0,1.682680995760561E9,"2023-04-28 20:23:15.761 UTC+09:00"
