"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.674981319593397E9,"2023-01-29 17:35:19.593 UTC+09:00"
"PAUSE",2.789652000006754E0,1.674981322382999E9,"2023-01-29 17:35:22.383 UTC+09:00"
