"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.683697907025079E9,"2023-05-10 14:51:47.025 UTC+09:00"
"PAUSE",6.417237429166653E1,1.683697971196291E9,"2023-05-10 14:52:51.196 UTC+09:00"
