"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.682323467268789E9,"2023-04-24 17:04:27.269 UTC+09:00"
"PAUSE",1.027307437499985E1,1.682323477541843E9,"2023-04-24 17:04:37.542 UTC+09:00"
