"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.674469014179967E9,"2023-01-23 19:16:54.180 UTC+09:00"
"PAUSE",2.819958374999260E0,1.674469016999882E9,"2023-01-23 19:16:57.000 UTC+09:00"
