"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.682844392553965E9,"2023-04-30 17:46:32.554 UTC+09:00"
"PAUSE",8.435166249983013E0,1.682844400988904E9,"2023-04-30 17:46:40.989 UTC+09:00"
