"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.685077014273845E9,"2023-05-26 13:56:54.274 UTC+09:00"
"PAUSE",5.397999937500572E1,1.685077068253861E9,"2023-05-26 13:57:48.254 UTC+09:00"
