"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.676430588618996E9,"2023-02-15 12:09:48.619 UTC+09:00"
"PAUSE",3.638997583333548E0,1.676430592257966E9,"2023-02-15 12:09:52.258 UTC+09:00"
