state,time
1305,1
1603,0
1651,1
2097,0
2714,1
3014,0
3060,1
3482,0
4179,1
4479,0
4528,1
4821,0
5630,1
5931,0
5976,1
6557,0
7274,1
7585,0
7631,1
8005,0
