"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.681896118116784E9,"2023-04-19 18:21:58.117 UTC+09:00"
"PAUSE",5.000906000001123E0,1.681896123117629E9,"2023-04-19 18:22:03.118 UTC+09:00"
