"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.683363887197454E9,"2023-05-06 18:04:47.197 UTC+09:00"
"PAUSE",5.069747679166721E1,1.683363937895614E9,"2023-05-06 18:05:37.896 UTC+09:00"
