"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686297146923425E9,"2023-06-09 16:52:26.923 UTC+09:00"
"PAUSE",5.646669104167086E1,1.686297203391338E9,"2023-06-09 16:53:23.391 UTC+09:00"
