arr1,arr2,arr3,arr4
1,-30.3551397239872,71.2470304878972,-14.149082214592
1,-34.0899011585404,75.4233246023448,-13.7251368257167
1,-31.3821689533113,76.8260582595926,-9.15456695252721
1,-24.2174918740027,66.9688068154089,-15.9751606379398
1,-34.6345848482601,66.9791939868544,-16.6962072287737
2,-70.7641146311376,101.077147094126,-19.2410629667378
2,-62.5488737399559,99.0286161098919,-15.9730811405302
2,-57.3795943929932,96.9772733552226,-20.8020267558312
2,-61.9064980415415,104.138764548014,-17.3558511918963
2,-58.7508346437587,97.1148442745699,-17.2875800925634
3,-24.0057051379264,42.8927726786826,7.0148063032734
3,-17.2962138513654,47.4297009005215,4.40842552605577
3,-25.90179095593,54.6102444542822,5.88497580941164
3,-21.0121050932936,45.5846029544157,7.59644109655612
3,-22.480856391201,47.7028166385831,6.34835351246201
4,-32.8721959668048,66.3801108634665,1.62575894767587
4,-21.3608691047204,53.3633017422999,-1.4366785546414
4,-22.2172151938385,62.9653292099949,4.10276345286095
4,-16.5294576425962,48.3510035977825,2.50880035077363
4,-36.8852110600121,76.8760575673495,7.72265314317251
5,-39.6988189029522,71.5184858169395,-16.0466252550145
5,-38.2242948708484,72.2059094449648,-14.6062766824544
5,-36.4726947621119,70.540122446022,-13.9744072474124
5,-37.3703623563008,67.835898442143,-12.1227000237199
5,-43.0216012483547,76.5593146095387,-6.91759020910013
6,-63.686991506344,116.447671438602,-116.983101009071
6,-55.4607270432427,108.13267599209,-115.753667951314
6,-58.082726072496,105.409761570508,-118.31144548196
6,-54.4760635211092,109.584313916747,-113.755080038445
6,-53.9450082252092,105.650146825045,-112.398339757672
7,-18.2482758082896,41.0284657974217,1.22865873313379
7,-22.4577952369466,50.2646808804898,15.4251315625081
7,-21.4596677673149,45.6637538710389,7.70880112959154
7,-20.3895901539172,40.6206458760651,5.35805265642582
7,-20.8621386170038,45.4366220746176,10.4971770044446
8,-87.7561206406867,134.337325897578,-101.526755501352
8,-86.3583680354189,130.350838992025,-100.512381817113
8,-93.9232563953639,136.139030934703,-96.2703452975452
8,-93.9979048689552,133.866065980102,-95.8429176413139
8,-88.1269485875713,136.768816348616,-100.887048364347
9,-6.71486050534591,68.661479461552,3.19936148823987
9,-10.0443613292009,73.3075648703483,2.27637835155086
9,-14.9842216890364,74.3157289852343,8.12373329544931
9,-16.4623418390036,72.795107200184,6.66211878612579
9,-9.12622863283894,71.2036511017454,1.69856451950417
10,-99.2476543872855,252.467526523779,-171.233880548924
10,-102.535954087806,255.236509793694,-164.160573149287
10,-101.164499424478,255.358219788448,-167.194392370504
10,-108.756120823763,256.530176985684,-179.876950897465
10,-103.971082448526,253.356498001729,-178.531141657509
11,-25.3070926714632,43.3599342750271,-17.6251129175615
11,-19.417551974285,45.1597988838994,-10.1556238827616
11,-27.7151795792619,51.5778241629885,-10.0381574752219
11,-23.7004044064705,43.6173017365489,-8.3067958756693
11,-19.9233699109137,47.4516113129455,-9.8876224050566
12,-29.2937932547943,55.8908450944532,20.5576113074145
12,-24.4749131367056,52.8718290978919,20.3515226611309
12,-28.8312909179864,54.1210559767891,20.1370629323574
12,-29.4097779444332,50.3912899353493,12.1394030525966
12,-28.8976478920947,50.4411225804985,20.72393410351
13,-25.1774185345929,51.0845260424908,-21.6031503438704
13,-28.3212244997828,56.7774789095351,-19.8292546684781
13,-33.1086797974019,51.8275420901939,-22.2934835682633
13,-25.3445531627702,48.9628935903767,-23.0646670119512
13,-25.7407660638361,52.5652216089985,-20.605389103849
14,-23.4604970633046,36.7783341082689,-4.97463146380572
14,-29.4376364480145,39.9556161759136,-6.54671461793383
14,-28.5963771530448,40.0209066195162,-4.73021945966918
14,-28.1894293271605,42.537960118802,-3.77342884664857
14,-25.0311423455446,26.9116583506477,-6.85525084923214
