Var1,Var2,Var3
-90.7664824612211,135.133220600371,-93.8558377026234
-91.7947112039213,130.835314537305,-100.665375825174
-90.7913836196764,136.773161360581,-94.7023995830184
-91.5955756664342,131.28329574612,-98.6417119821745
-93.754921211458,136.409804052749,-93.5430884000571
-93.6138972924531,131.087697005817,-98.3753128089736
-94.3621283239262,139.813003802029,-93.8475803143813
-94.1298046244774,134.573353043761,-98.7012088448489
-91.5367742238356,137.595776873446,-95.1428857687816
-91.74250137377,132.31997608149,-98.2456855803687
-91.7711079484139,134.335533103045,-90.563085201607
-92.8809859647267,129.75279806208,-95.2677006750447
-88.9050108803081,127.504016685005,-88.1873108553284
-91.4040743758382,129.194516391694,-95.7407627149769
-94.3780167818176,133.447680609164,-87.5261561967986
-95.2247933791442,134.141143789595,-96.0441854961471
-95.7606081781319,140.04665922483,-92.806260643494
-94.3907460856507,135.18644384482,-96.92347124633
-91.1858644709953,136.168913115167,-91.8133234917788
-91.5230907666977,131.682150312719,-96.2222142289987
-88.8053966157165,128.405917176925,-90.4921519562507
-90.1016157079566,123.580962834526,-97.0667051680417
-91.3303046969092,130.551215539997,-91.3716787863696
-90.9674590555166,123.908572525056,-95.2661688824272
-94.2860221842058,135.080077792179,-94.8641802276202
-93.5249059365141,128.075314522725,-97.7186157456379
-93.991012012294,136.397795284311,-93.9209253205067
-93.9333888592895,128.273362462807,-95.6714957096855
-89.1817668392883,129.63534083575,-88.8076114555604
-89.9017714453184,125.662420992101,-96.7798603004399
-89.2251253240763,132.822764727027,-93.0423464311694
-90.4041279706284,125.171286187158,-97.2382849672423
-88.1361499585401,125.31651169209,-88.3454571246112
-90.3400495124488,125.512516799981,-96.4038369478826
-92.2384639020665,131.816153718981,-92.9055131557789
-92.8036510956981,126.453186314513,-96.8721982167865
-88.6408861244306,130.806945923963,-91.9991601396994
-89.203262108609,125.914585575008,-95.7664429878095
-94.966633385849,134.614484372365,-93.8971088111987
-94.7504343417395,128.179061065057,-96.5462194104031
-95.0604921698142,138.321176295839,-91.2216157902724
-94.8290803038914,135.556327886273,-98.2117263991396
-93.2916414615209,139.877634084021,-90.8605122294966
-96.8555011370435,140.917630388993,-97.6710217950618
-92.9983095911524,139.456451185804,-92.8950754554312
-93.5266214871654,134.996294299322,-96.0692050975894
-92.8277994916477,132.923027517196,-91.2364111592701
-94.8003208371805,137.221729055732,-97.2731573527243
-93.4181536934925,130.010933640976,-87.9283867511918
-94.9901793532405,134.506026590299,-96.9708875347784
-92.0215062421531,132.449147769097,-87.9572381654829
-93.1525643989289,131.293603429687,-96.4225325797861
-94.2249242625453,134.550221271013,-93.2857764299323
-93.9835392329091,131.213399092522,-97.1300655357031
-93.1260307391796,137.912519715108,-92.9893980161261
-94.2254082109661,134.073563959325,-95.7246841247572
-91.3078638009822,132.322706030085,-92.0722038116594
-92.1728916292364,129.961507512131,-96.6481899774581
-92.0455161647209,133.316784228611,-90.0775806317355
-93.6660543252411,130.143294310585,-96.247115067243
-93.0786841713196,132.229716692263,-85.5389622702436
-93.545013943658,133.014546408693,-95.532270282738
-93.3782613421504,128.753462794842,-86.1873025077308
-96.3984580711381,131.239649255541,-93.8058847521302
-91.0053128839291,131.454794698944,-86.6795908789759
-93.0302589243534,130.648625180963,-93.7106726864393
-90.917131466037,132.347599876513,-87.8808760828887
-93.8783276361444,132.434991827104,-96.516713863263
-92.8251289926168,135.340269595321,-88.7641414302661
-93.9433128971044,131.068673661304,-95.1064499413268
-96.875689611563,135.971744874995,-93.0972346881248
-95.9534845218806,128.540080664869,-100.624093013095
-96.7087656716267,135.457280291517,-92.5544231215083
-97.8747990921621,130.008652055677,-101.449440988416
-91.3854072547779,123.26311532341,-97.4047720708069
-95.7699540847497,126.639965414983,-100.411347275425
-91.6203883066063,124.348079880591,-97.7308484008493
-95.446042714179,128.163864060674,-101.767360991167
-90.6136111781062,132.683541903421,-93.8816329167358
-92.5601361437326,126.194825202604,-100.765339607728
-90.5781254729411,133.738333713613,-92.362306920411
-93.6922934278956,130.467182388005,-96.5803045147143
-90.3504030514032,133.143756590977,-91.0463044025048
-90.8976460924495,128.150608445042,-95.1829062701612
-91.1384605392078,133.016622178037,-90.4256021586789
-91.0315362258173,128.154074204732,-95.4464123355643
-90.940581328744,129.903927521238,-89.595000588972
-90.9545831938992,127.799648007077,-95.9886573010799
-92.4731319227161,134.937602269781,-91.4657582520836
-92.5862216596329,130.637284207609,-95.4391472873626
-95.0205920777117,137.18409444115,-91.150117612637
-92.0030530887451,130.830740037374,-94.9841833090305
-92.9754326690241,134.236309786663,-90.4742251126167
-92.8596515662864,129.416299350038,-94.5013325325296
-95.7140136686743,136.012427318415,-88.8378023890149
-95.9865149276125,132.465036463247,-94.329155374773
-90.4808567823827,131.256337917112,-89.8782763552478
-91.3229735204665,128.245761050916,-94.5119379546889
-90.2675828333737,130.801798943334,-88.8956975369217
-92.2322838235542,127.317095190893,-94.4712156473572
-90.7019863632467,133.774569965059,-92.5765618985734
-91.3579449341291,128.844848182159,-96.5891369883324
-92.2193032164331,134.880599781555,-91.8998579159604
-93.1230180193744,131.100961161021,-96.0147917730258
-90.6406792839073,133.258493367816,-91.3345530313357
-92.4410713376622,130.935228901581,-96.4643562181314
-91.3333381825761,134.129062686592,-93.1456055642143
-92.3912862324271,129.902437224515,-94.3056245780592
-90.9000412201848,130.515146170436,-91.7681349382847
-90.820547980097,126.288321923815,-94.9772285171497
-92.8991710182773,136.969801128787,-89.0462388313404
-91.5969545640541,131.743533359585,-96.3833631479941
-91.1885969440416,135.03235835602,-89.5364386522961
-93.5490502922265,132.416185992471,-95.9226111444792
-90.579123256052,132.961352391182,-88.6920347023738
-91.5074049291525,126.97230083356,-94.1698007688573
-92.9295098387484,139.802563134999,-90.1130707754105
-95.2482862311411,135.622645473865,-96.2945322439201
-91.997075393136,137.730342506981,-89.2748138757303
-92.5392829192867,132.040682891689,-96.4806779668893
