"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.682834778618857E9,"2023-04-30 15:06:18.619 UTC+09:00"
"PAUSE",1.311258020834066E1,1.682834791731533E9,"2023-04-30 15:06:31.732 UTC+09:00"
