"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.683729798051532E9,"2023-05-10 23:43:18.052 UTC+09:00"
"PAUSE",5.995489616666600E1,1.683729858006127E9,"2023-05-10 23:44:18.006 UTC+09:00"
