"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.681896291174846E9,"2023-04-19 18:24:51.175 UTC+09:00"
"PAUSE",4.221889833337627E0,1.681896295396685E9,"2023-04-19 18:24:55.397 UTC+09:00"
