"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.682687235617969E9,"2023-04-28 22:07:15.618 UTC+09:00"
"PAUSE",9.563888041666360E0,1.682687245181868E9,"2023-04-28 22:07:25.182 UTC+09:00"
