"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.674469154363454E9,"2023-01-23 19:19:14.363 UTC+09:00"
"PAUSE",3.065264958333500E0,1.674469157428676E9,"2023-01-23 19:19:17.429 UTC+09:00"
