"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.676133628155203E9,"2023-02-12 01:40:28.155 UTC+09:00"
"PAUSE",3.537667166674510E0,1.676133631692845E9,"2023-02-12 01:40:31.693 UTC+09:00"
