"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.682680452815217E9,"2023-04-28 20:14:12.815 UTC+09:00"
"PAUSE",1.162536366666609E1,1.682680464440612E9,"2023-04-28 20:14:24.441 UTC+09:00"
